x: -0.9090050702362181	y: 50.05	 E: 20.0
x: -1.8219401353619342	y: 2.4530199474988246	 E: 0.0
x: -1.3303341210978947	y: 2.1857003757622464	 E: 0.0
x: -0.5743546284919079	y: -0.15200614141483115	 E: 0.0
x: -0.2639317740727498	y: -0.8079119770017619	 E: 0.0
x: 0.11970257170996206	y: 1.0569844665058659	 E: 0.0
x: 0.5817945581584927	y: -0.37564854403268355	 E: 0.0
x: 0.9444518566955757	y: 2.1258980244504655	 E: 0.0
x: 1.5452166852770168	y: 0.7188543757487148	 E: 0.0
x: 1.2990370081180354	y: -0.7500019010240866	 E: 0.0
x: 1.6025956944250463	y: 50.04999999999998	 E: 20.0
x: 2.051395560940517	y: -0.9484168745736593	 E: 20.0
x: -6.42435655169992	y: 2.1073903390038926	 E: 0.0
x: -5.491825096767663	y: 3.517811466339648	 E: 0.0
x: -5.143056823014862	y: 1.1215345752257213	 E: 0.0
x: -4.0615738189271795	y: 1.3248731993370724	 E: 20.0
x: -3.4206058348974833	y: 50.05	 E: 20.0
x: -2.627101864672916	y: 1.1521994814196257	 E: 0.0
x: -1.7058879361242931	y: -0.14833701889381812	 E: 0.0
x: -2.25774494478544	y: 1.8954431028690877	 E: 20.0
x: -1.9344554489407615	y: -0.3391002840819146	 E: 0.0
x: -0.9838651181853727	y: 3.2437271126168357	 E: 0.0
x: -1.3	y: 0.0	 E: 20.0
x: 1.188071821865355	y: 49.95	 E: 20.0
x: 0.9438202487104588	y: -2.373804423700782	 E: 0.0
x: -0.6826458501083007	y: 0.8234907972540242	 E: 0.0
x: -0.35087156697815924	y: 50.05	 E: 20.0
x: -0.015619664068070818	y: 1.9542056920945003	 E: 0.0
x: 0.3182094951620861	y: 0.5421108018276655	 E: 0.0
x: 0.6608340619160319	y: 1.8822840146199689	 E: 0.0
x: 2.248004572348028	y: 1.985823740781231	 E: 0.0
x: 1.9198540215427617	y: -0.33127481506371853	 E: 0.0
x: 1.6461596046788465	y: 0.4413146598063315	 E: 0.0
